Time	Temperature	Dew Point	Humidity	Wind	Wind Speed	Wind Gust	Pressure	Preciptation	Condition	day
12:51 AM	36 F	26 F	67 %	WNW	10 mph	0 mph	29.84 in	0.0 in	Fair	8
1:51 AM	35 F	27 F	72 %	WNW	14 mph	0 mph	29.86 in	0.0 in	Fair	8
2:51 AM	35 F	28 F	76 %	W	13 mph	0 mph	29.87 in	0.0 in	Fair	8
3:51 AM	35 F	27 F	72 %	W	14 mph	20 mph	29.87 in	0.0 in	Fair	8
4:51 AM	34 F	27 F	75 %	WSW	14 mph	0 mph	29.87 in	0.0 in	Mostly Cloudy	8
5:51 AM	34 F	27 F	75 %	WSW	10 mph	0 mph	29.88 in	0.0 in	Mostly Cloudy	8
6:51 AM	33 F	26 F	75 %	WSW	14 mph	0 mph	29.88 in	0.0 in	Mostly Cloudy	8
7:51 AM	34 F	26 F	73 %	WSW	10 mph	0 mph	29.89 in	0.0 in	Mostly Cloudy	8
8:51 AM	36 F	26 F	67 %	W	10 mph	0 mph	29.89 in	0.0 in	Mostly Cloudy	8
9:51 AM	36 F	26 F	67 %	WSW	14 mph	26 mph	29.90 in	0.0 in	Light Snow	8
10:51 AM	37 F	26 F	65 %	WSW	17 mph	24 mph	29.88 in	0.0 in	Partly Cloudy	8
11:51 AM	40 F	24 F	53 %	WNW	24 mph	30 mph	29.87 in	0.0 in	Mostly Cloudy / Windy	8
12:51 PM	41 F	20 F	43 %	W	16 mph	31 mph	29.87 in	0.0 in	Mostly Cloudy	8
1:51 PM	42 F	15 F	34 %	W	21 mph	29 mph	29.89 in	0.0 in	Mostly Cloudy / Windy	8
2:51 PM	40 F	20 F	45 %	NW	25 mph	36 mph	29.93 in	0.0 in	Mostly Cloudy / Windy	8
3:31 PM	35 F	23 F	61 %	NW	30 mph	45 mph	29.99 in	0.0 in	Light Snow / Windy	8
3:35 PM	34 F	24 F	67 %	NW	23 mph	45 mph	30.00 in	0.0 in	Light Snow / Windy	8
3:51 PM	35 F	23 F	61 %	WNW	20 mph	30 mph	30.01 in	0.0 in	Partly Cloudy	8
4:51 PM	36 F	15 F	43 %	WNW	24 mph	32 mph	30.06 in	0.0 in	Fair / Windy	8
5:51 PM	35 F	12 F	39 %	WNW	25 mph	36 mph	30.11 in	0.0 in	Partly Cloudy / Windy	8
6:51 PM	34 F	11 F	38 %	WNW	23 mph	33 mph	30.17 in	0.0 in	Fair / Windy	8
7:51 PM	33 F	8 F	35 %	WNW	24 mph	36 mph	30.24 in	0.0 in	Fair / Windy	8
8:51 PM	32 F	12 F	44 %	NW	21 mph	36 mph	30.27 in	0.0 in	Mostly Cloudy / Windy	8
9:51 PM	30 F	11 F	45 %	NW	21 mph	30 mph	30.30 in	0.0 in	Mostly Cloudy / Windy	8
10:51 PM	30 F	11 F	45 %	NW	23 mph	29 mph	30.34 in	0.0 in	Mostly Cloudy / Windy	8
11:51 PM	29 F	8 F	41 %	WNW	21 mph	29 mph	30.37 in	0.0 in	Partly Cloudy / Windy	8
12:51 AM	28 F	9 F	45 %	NW	23 mph	37 mph	30.41 in	0.0 in	Partly Cloudy / Windy	9
1:51 AM	27 F	9 F	47 %	NW	16 mph	25 mph	30.45 in	0.0 in	Partly Cloudy	9
2:51 AM	26 F	8 F	47 %	NW	21 mph	39 mph	30.48 in	0.0 in	Fair / Windy	9
